,album_name,artist
227977,Disciplined Breakdown,Collective Soul
227979,Booty Call,Soundtrack
227982,New Beginning,Tracy Chapman
227987,Fashion Nugget,Cake
227988,If We Fall In Love Tonight,Rod Stewart
227989,"Music From The Motion Picture ""Evita""",Soundtrack Cast
227995,Here's Your Sign,Bill Engvall
227996,Jerry Maguire,Soundtrack
227997,Hercules,Soundtrack
227998,Bow Down,Westside Connection
228156,Maladjusted,Morrissey
228168,Brown Album,Primus
228177,Adam And Eve,The Catherine Wheel
228185,The Untouchable,Scarface
228188,In Concert / MTV Plugged,Bruce Springsteen
228192,The Will To Live,Ben Harper
228196,VH1 More Of The Big 80's,Various Artists
228197,Under The Covers,Dwight Yoakam
228199,Recently,Dave Matthews Band
228281,Platinum: A Life In Music,Elvis Presley
228360,Takin' The Country Back,John Anderson
228368,Scouts Honor...By Way Of Blood,Rampage
228372,Return Of The Mack,Mark Morrison
228377,Paradise In Me,K's Choice
228379,In The Mirror,Yanni
228380,The Coast Is Clear,Tracy Lawrence
228383,Fresh Horses,Garth Brooks
228384,Steel,Soundtrack
228387,Generation Swine,Motley Crue
228389,Twenty-Eight Teeth,Buck-O-Nine
228392,The War Report,Capone -N- Noreaga
228394,Ultra.,Depeche Mode
228395,GOOD Burger,Soundtrack
228396,The Unimaginable Life,Kenny Loggins
228577,Jesus Freak,dc Talk
228581,Destination Anywhere,Jon Bon Jovi
228583,Booty Mix 2: The Next Bounce II,Various Artists
228585,Yo! MTV Raps,Various Artists
228587,I Got Next,KRS-One
228589,You're The Inspiration: A Collection,Peter Cetera
228591,Supertones Strike Back,The O.C. Supertones
228597,Mellon Collie And The Infinite Sadness,The Smashing Pumpkins
228599,Borderline,Brooks & Dunn
228741,Six Figures,D-Shot
228770,No Doubt,702
228784,Sweet Thing,Boney James
228786,Az Yet,Az Yet
228794,Romeo + Juliet Volume 2,Soundtrack
228797,Michael,Soundtrack
228799,Coil,Toad The Wet Sprocket
228972,Organized Bass,Kilo Ali
228974,Life Love & Other Mysteries,Point Of Grace
228975,ESPN Presents X Games: The Soundtrack Album,Various Artists
228979,Necessary Roughness,The Lady Of Rage
228982,Hellcat Records Presents...Give 'Em The Boot,Various Artists
228984,Bad Newz Travels Fast,DJ Pooh
228986,Stained Glass,Clay Crosse
228990,Operation: Get Down,Craig Mack
228995,George Of The Jungle,Soundtrack
229132,Cut The Crap,Jackyl
229166,D.J. Mix '97 Vol. 2,Various Artists
229167,Little Head,John Hiatt
229170,Eight Arms To Hold You,Veruca Salt
229171,MTV's Amp,Various Artists
229184,Greatest Sports Rock And Jams,Various Artists
229185,Faces,John Berry
229191,One Fine Day,Soundtrack
229192,Across My Heart,Kenny Rogers
229194,Album Of The Year,Faith No More
229198,Measure Of A Man,Kevin Sharp
229342,311,311
229343,E. 1999 Eternal,Bone Thugs-N-Harmony
229351,The Comrads,The Comrads
229368,End Of The Summer,Dar Williams
229375,When Hell.A. Freezes Over,Frost
229381,For The People,Boot Camp Clik
229386,Year Of The Horse,Neil Young & Crazy Horse
229392,Blood On The Dance Floor: HIStory In The Mix,Michael Jackson
229399,RockCrown,Seven Mary Three
229569,One Fierce Beer Coaster,Bloodhound Gang
229570,Women In Technology,White Town
229575,Guns In The Ghetto,UB40
229578,More Sun Splashin' -- 16 Hot Summer Hits!,Various Artists
229581,Take A Look Over Your Shoulder (Reality),Warren G
229588,Dance Hits Supermix 2,Various Artists
229590,Hercules Sing-Along (EP),Soundtrack Cast
229592,Tha Doggfather,Snoop Dogg
229594,The Saint,Soundtrack
229757,Titanic A New Musical,Original Broadway Cast Recording
229769,Fallout From The Phil Zone,Grateful Dead
229773,Jefe de Jefes,Los Tigres del Norte
229779,Crazy Nights,Lonestar
229783,The Greatest Hits,Clint Black
229788,Sprung,Soundtrack
229790,Pure Soul 1997,Various Artists
229797,Pre-Meditated Drama,Steady Mobb'n
229953,Stone Crazy,The Beatnuts
229958,The Mollusk,Ween
229959,Some Other Sucker's Parade,Del Amitri
229976,So Long So Wrong,Alison Krauss + Union Station
229983,1997 Grammy Nominees,Various Artists
229984,Junction Seven,Steve Winwood
229986,The Fifth Element,Soundtrack
229987,The Nixons,The Nixons
229991,Reggae Gold 1997,Various Artists
229997,Controversee... That's Life...And That's The Way It Is,Freak Nasty
229999,Wildest Dreams,Tina Turner
230142,Gospel Oak EP,Sinead O'Connor
230154,Feelings,David Byrne
230158,Ghostyhead,Rickie Lee Jones
230166,Egyptology,World Party
230169,G3 -- Live In Concert,Joe Satriani/Eric Johnson/Steve Vai
230170,Saturday Night,Zhane
230175,I Surrender All--30 Classic Hymns,Carman
230181,Secada,Jon Secada
230185,First Band On The Moon,The Cardigans
230188,Shelter,The Brand New Heavies
230190,House Of Music,Tony Toni Tone
230191,Set It Off,Soundtrack
230192,Freak Show,Silverchair
230195,Lost Highway,Soundtrack
230196,Still Serious,Big Mike
230198,The Healing Game,Van Morrison
230357,The Lost World: Jurassic Park,Soundtrack
230365,Riverdance,Bill Whelan
230367,Cowboy,Erasure
230372,Come On Home,Boz Scaggs
230379,Collection,Wynonna
230380,Blood-Rooted,Sepultura
230382,Evita,Soundtrack
230383,Fever In Fever Out,Luscious Jackson
230384,Michael Flatley's Lord Of The Dance,Ronan Hardiman
230385,WoW-1997: The Year's 30 Top Christian Artists And Songs,Various Artists
230388,Hear In The Now Frontier,Queensryche
230389,Austin Powers: International Man Of Mystery,Soundtrack
230391,Are You With Me?,Cowboy Mouth
230393,I Think About You,Collin Raye
230397,Complicated,Tanya Tucker
230398,"Enigma 3 Le Roi Est Mort, Vive Le Roi!",Enigma
230399,The Simpsons: Songs In The Key Of Springfield,Various Artists
230570,Innamorata,Pat Benatar
230574,Between Now & Forever,Bryan White
230576,Elegantly Wasted,INXS
230577,All Day Everyday,South Central Cartel
230582,Me And You,Kenny Chesney
230584,Whatcha Lookin' 4,Kirk Franklin And The Family
230587,Piece Of Mind,Tela
230588,Ten Thousand Angels,Mindy McCready
230595,The Score,Fugees
230596,Twenty,Lynyrd Skynyrd
230597,These Dreams -- Heart's Greatest Hits,Heart
230781,Live In London At Wembley,Hezekiah Walker & The Love Fellowship Crusade Choir
230786,That Thing You Do!,Soundtrack
230791,Greater Need,Lorrie Morgan
230792,Funkmaster Flex The Mix Tape Volume II: 60 Minutes Of Funk,Funkmaster Flex
230795,Death Row Greatest Hits,Various Artists
230957,Remanufacture (Cloning Technology),Fear Factory
230982,Juntos Otra Vez,Juan Gabriel / Rocio Durcal
230984,True To Myself,Eric Benet
230988,Sweet Potato Pie,The Robert Cray Band
230990,Living In Clip,Ani DiFranco
230991,Blue Clear Sky,George Strait
230994,Stop The Gunfight,Trapp
230996,American Psycho,Misfits
231167,Greatest Hits...And Then Some,Aaron Tippin
231173,Richard Humpty Vission & Bad Boy Bill: The House Connection Volume 1,Various Artists
231175,Many Facez,Tracey Lee
231177,Flesh And Bone,Richard Marx
231179,You And I,Teddy Pendergrass
231181,Jocelyn,Jocelyn Enriquez
231185,18 Til I Die,Bryan Adams
231188,Master P Presents...West Coast Bad Boyz II,Various Artists
231189,Full Circle,Pennywise
231193,How Sweet It Is...,Jerry Garcia Band
231194,Port Of Mystery,Yanni
231195,Signs Of Life,Steven Curtis Chapman
231197,...And Then There Was Bass,Various Artists
231338,Return To Paradise,Styx
231369,Love And Mercy,Kathy Troccoli
231374,Llevame Contigo,Olga Tanon
231378,Phenomenon,Soundtrack
231379,Straightaways,Son Volt
231380,Big Love,Tracy Byrd
231386,Love Travels,Kathy Mattea
231389,Conflicts & Confusion,Crime Boss Featuring The Fedz
231394,You Can't Stop The Reign,Shaquille O'Neal
231397,Cheap Trick,Cheap Trick
231398,Tucanes De Oro,Los Tucanes de Tijuana
231559,Picnic,Robert Earl Keen
231569,Dance Mix USA Volume Six,Various Artists
231575,The Very Best Of After 7,After 7
231577,Greatest Kiss,KISS
231580,Blue Roses From The Moons,Nanci Griffith
231583,More...,Montell Jordan
231586,Muggs Presents...The Soul Assassins Chapter 1,Various Artists
231588,One More Time,Real McCoy
231589,The Whole Scenario,Levert
231591,The Ozz-fest Live,Various Artists
231596,Stackin Chips,3X Krazy
231597,Goodnight Sweetheart,David Kersh
231711,Sound Of Lies,The Jayhawks
231749,The Global Masters,Johnny Mathis
231762,Howard Stern Private Parts: The Album,Soundtrack
231785,Blue Sky On Mars,Matthew Sweet
231787,Petra Praise 2 We Need Jesus,Petra
231790,Garbage,Garbage
231791,New World Order,Curtis Mayfield
231792,Just The Same,Terri Clark
231795,Come In And Burn,Rollins Band
231797,Ironman,Ghostface Killah
231798,Trial By Fire,Journey
231799,Jars Of Clay,Jars Of Clay
231933,That's Them,Artifacts
231945,Shadowlife,Dokken
231950,Dance Into The Light,Phil Collins
231957,Amanda Marshall,Amanda Marshall
231967,To The Faithful Departed,The Cranberries
231973,Like Swimming,Morphine
231976,Home Again,New Edition
231982,Definition Of A Band,Mint Condition
231983,The Best Of Andrew Lloyd Webber,The Starlight Orchestra And Singers
231986,Aftertaste,Helmet
231992,Beautiful World,Big Head Todd And The Monsters
231994,Wild Orchid,Wild Orchid
231996,Dreaming Of You,Selena
231997,Gridlock'd,Soundtrack
231998,Daydream,Mariah Carey
231999,Trainspotting,Soundtrack
232133,Tony Bennett On Holiday -- A Tribute To Billie Holiday,Tony Bennett
232165,Rhyme & Reason,Soundtrack
232182,No Mercy,No Mercy
232183,Your Secret Love,Luther Vandross
232185,The Very Best Of Roy Orbison,Roy Orbison
232186,Shine,Soundtrack
232187,Family Scriptures,Mo Thugs Family
232188,Emancipation,Prince
232189,The Mirror Has Two Faces,Soundtrack
232190,Uptown Saturday Night,Camp Lo
232191,Help Yourself,Peggy Scott-Adams
232192,ATLiens,OutKast
232195,The English Patient,Soundtrack
232197,Get On Up And Dance,Quad City DJ's
232366,Star Wars: Return Of The Jedi,London Symphony (Williams)
232368,Muddy Waters,Redman
232374,Power Of Love -- 16 Great Soft Rock Hits,Various Artists
232381,Bad Hair Day,"""Weird Al"" Yankovic"
232383,Mission To Please,The Isley Brothers
232384,Let's Get The Mood Right,Johnny Gill
232387,Sisters Of Avalon,Cyndi Lauper
232389,Mr. Happy Go Lucky,John Mellencamp
232390,Now In A Minute,Donna Lewis
232391,Let Me Clear My Throat,DJ Kool
232392,The End,Three 6 Mafia
232394,I Stoled This Record,Cledus T. Judd
232395,Seasoned Veteran,Richie Rich
232396,Caedmon's Call,Caedmon's Call
232531,Star Wars: A New Hope,London Symphony (Williams)
232537,The More Things Change...,Machine Head
232575,Star Wars: The Empire Strikes Back,London Symphony (Williams)
232587,Hand It Over,Dinosaur Jr.
232592,Braveheart,Soundtrack
232593,The Best Of Country Sing The Best Of Disney,Various Artists
232595,David Helfgott Plays Rachmaninov,David Helfgott
232596,Beavis And Butt-Head Do America,Soundtrack
232598,Dangerous Ground,Soundtrack
232599,Classic Disney Vol. I - 60 Years Of Musical Magic,Various Artists
232773,Don't Look Back,John Lee Hooker
232777,One Life 2 Live,C-BO
232778,Earthling,David Bowie
232780,Tango,Julio Iglesias
232785,Legends,James Galway & Phil Coulter
232788,The Memory Of Trees,Enya
232789,Sweetback,Sweetback
232792,Spiders,Space
232794,Picture This,Do Or Die
232795,Tigerlily,Natalie Merchant
232796,Politics & Bullsh*t,Frankie Cutlass
232797,"T.D. Jakes Presents Music From Woman, Thou Art Loosed!",T.D. Jakes
232899,The Woman In Me,Shania Twain
232949,Me Against The World,2Pac
232973,Orblivion,The Orb
232991,Tha Hall Of Game,E-40
232994,Bombs & Butterflies,Widespread Panic
232996,The Restless Kind,Travis Tritt
232999,Unplugged,Alice In Chains
233154,The Boatman's Call,Nick Cave & The Bad Seeds
233163,Anuthatantrum,Da Brat
233170,It Matters To Me,Faith Hill
233173,T.H.U.G.S. Trues Humbly United Gatherin' Souls,Flesh-N-Bone
233178,Words,The Tony Rich Project
233179,Hell On Earth,Mobb Deep
233183,Friction Baby,Better Than Ezra
233189,Tiny Music...Songs From The Vatican Gift Shop,Stone Temple Pilots
233190,"Astro Creep: 2000 Songs Of Love, Destruction",White Zombie
233194,Smells Like Children,Marilyn Manson
233195,Romance,Giovanni
233196,Brighten The Corners,Pavement
233197,Destiny,Gloria Estefan
233198,Bootleg Versions,Fugees
233199,The Trouble With The Truth,Patty Loveless
233357,Whiplash,James
233371,The Beauty Process: Triple Platinum,L7
233382,Greatest Hits,Mark Chesnutt
233383,Never Home,Freedy Johnston
233388,"Politics, Religion And Her",Sammy Kershaw
233389,A Place In The World,Mary Chapin Carpenter
233390,R. Kelly,R. Kelly
233395,Irresistible Bliss,Soul Coughing
233396,Epiphany: The Best Of Chaka Khan Volume One,Chaka Khan
233398,MTV Party To Go -- Volume 10,Various Artists
233572,Summer Of '78,Barry Manilow
233573,Illadelph Halflife,The Roots
233575,From The Muddy Banks Of The Wishkah,Nirvana
233576,It Was Written,Nas
233577,Dr. Dre Presents... The Aftermath,Various Artists
233580,The Garden,Merril Bainbridge
233586,Empire Records,Soundtrack
233588,Fairweather Johnson,Hootie & The Blowfish
233591,I'm Here For You,Ann Nesby
233594,Hello,Poe
233599,The Hemp Museum,B-Legit
233750,Anthology 3,The Beatles
233766,Telegram,Bjork
233779,The Luv Collection: Movie Luv,Various Artists
233780,Stardust,Natalie Cole
233782,Pre-Millennium Tension,Tricky
233788,Republica,Republica
233791,Blue Moon,Toby Keith
233793,Time Marches On,Tracy Lawrence
233797,Music For The Jilted Generation,The Prodigy
233799,Linus & Lucy - The Music Of Vince Guaraldi,George Winston
233890,Sixteen Stone,Bush
233977,Charity Of Night,Bruce Cockburn
233979,Enigma,Keith Murray
233983,No Code,Pearl Jam
233985,In A Metal Mood: No More Mr. Nice Guy,Pat Boone
233986,Dance Hits '96 Supermix,Various Artists
233990,Used Heart For Sale,Gary Allan
233991,As Good As Dead,Local H
233993,Chicago The Musical,The New Broadway Cast Recording
233996,New Adventures In Hi-Fi,R.E.M.
234181,II,The Presidents Of The United States Of America
234184,Sweet Dreams,La Bouche
234189,All That: The Album,Various Artists
234190,Very Best Of...Broadway Collection,Andrew Lloyd Webber
234193,Baja Sessions,Chris Isaak
234195,Legal Drug Money,Lost Boyz
234196,So So Def Bass All-Stars,Various Artists
234198,Calm Before The Storm,Paul Brandt
234199,Dreamland,Robert Miles
234382,Dance Mix U.S.A. Vol. 5,Various Artists
234383,Now And Then,Soundtrack
234385,Come Find Yourself,Fun Lovin' Criminals
234389,Supersexy Swingin' Sounds,White Zombie
234390,Billy Breathes,Phish
234393,Mr. Smith,LL Cool J
234395,All I Want,Tim McGraw
234397,The Crow: City Of Angels,Soundtrack
234499,The Hits,Garth Brooks
234597,Remember,Rusted Root
234598,Enrique Iglesias,Enrique Iglesias
234599,K,Kula Shaker
234737,Crank It Up -- The Music Album,Jeff Foxworthy
234784,Gangsta's Paradise,Coolio
234785,Christmas Island,Jimmy Buffett
234787,Macarena Tropical Disco,Countdown Dance Masters
234790,Everybody Knows,Trisha Yearwood
234791,This Is The Time -- The Christmas Album,Michael Bolton
234793,Anthology 2,The Beatles
234794,The Luv Collection: Hot Luv Dance Songs,Various Artists
234950,Toy Story,Sing-Along
234959,101 Dalmatians (Live Action),Various Artists
234963,Star Bright,Vanessa Williams
234982,Classic Disney Vol. III - 60 Years Of Musical Magic,Various Artists
234991,The Aeroplane Flies High,The Smashing Pumpkins
234999,Pet Your Friends,Dishwalla
235107,The Gift,Kenny Rogers
235126,Christmas Tribute To Mannheim Steamroller,Westwind Ensemble
235130,Cracked Rear View,Hootie & The Blowfish
235139,40 Oz. To Freedom,Sublime
235158,The Colour Of My Love,Celine Dion
235176,Celtic Christmas II,Various Artists
235178,Shepherd Moons,Enya
235184,Breathless,Kenny G
235189,The Carols Of Christmas,Various Artists
235190,Strait Out Of The Box,George Strait
235192,Korn,Korn
235196,Anthology 1,The Beatles
235198,Test For Echo,Rush
235199,In My Lifetime,Neil Diamond
235363,Emmanuel: A Musical Celebration Of The Life Of Christ,Various Artists
235364,Christmas Volume II,Alabama
235375,Christmas The Gift,Collin Raye
235380,When Love Finds You,Vince Gill
235381,Christmas On Death Row,Various Artists
235388,Treasures,Dolly Parton
235390,Seal,Seal
235395,Macarena Non Stop,Los Del Rio
235399,Songs And Music From She's The One (Soundtrack),Tom Petty And The Heartbreakers
235548,O Holy Night!,Sandi Patty
235584,Peace On Earth,Kitaro
235588,I Love To Tell The Story: 25 Timeless Hymns,Andy Griffith
235595,A Celebration Of Christmas,Jose Carreras/Natalie Cole/Placido Domingo
235597,"Rudolph, Frosty & Favorit Friends' Christmas Songs",Various Artists
235783,Siempre Selena,Selena
235785,White Christmas,Rosemary Clooney
235795,Rhythmeen,ZZ Top
235990,Take Me To Your Leader,newsboys
235993,High School High,Soundtrack
235995,Among My Swan,Mazzy Star
236140,Fat Boy Pizza Breasts,Mancow
236171,Da Storm,Originoo Gunn Clappaz
236180,White Light White Heat White Trash,Social Distortion
236185,Greatest Hits,Simply Red
236186,Quartet,Pat Metheny Group
236189,Greatest Funkin' Hits,George Clinton
236193,Dozin' At The Knick,Grateful Dead
236194,Macarena Club Cutz,Various Artists
236195,Wither Blister Burn + Peel,Stabbing Westward
236351,Wrath Of The Math,Jeru The Damaja
236360,Nico,Blind Melon
236381,Unchained,Johnny Cash
236389,"Beats, Rhymes And Life",A Tribe Called Quest
236391,Disney's Christmas Collection,Various Artists
236393,Being There,Wilco
236395,Truth Crushed To Earth Shall Rise Again,House Of Pain
236397,Blend,BoDeans
236398,F.B.I.,The Dayton Family
236399,Blackacidevil,Danzig
236494,Enlarged To Show Detail,311
236567,Chip Davis' Holiday Musik,Various Artists
236580,The Jerky Boys 3,The Jerky Boys
236587,Good Love!,Johnnie Taylor
236588,At The Speed Of Life,Xzibit
236592,Hits,Joni Mitchell
236595,Unreleased & Revamped (EP),Cypress Hill
236596,Gettin' It (Album Number Ten),Too $hort
236698,Keys To Ascension,Yes
236734,Shady Grove,Jerry Garcia & David Grisman
236756,Time Will Reveal,Above The Law
236778,Firing Squad,M.O.P.
236784,Time Flies...The Best Of Huey Lewis & The News,Huey Lewis & The News
236787,Twister,Soundtrack
236788,The Final Tic,Crucial Conflict
236791,Beautiful Freak,eels
236792,The First Wives Club,Soundtrack
236793,Live At The Isle Of Wight Festival 1970,The Who
236795,A Worm's Life,Crash Test Dummies
236797,The Rolling Stones Rock & Roll Circus,Various Artists
236799,Mercury Falling,Sting
236953,The Arista Years,Grateful Dead
236964,Reasonable Doubt,JAY-Z
236968,Stars And Stripes Vol. 1,The Beach Boys
236969,The Nutty Professor,Soundtrack
236971,Wiseblood,Corrosion Of Conformity
236975,Car Button Cloth,The Lemonheads
236978,The 7 Sins,Kane & Abel
236979,Business Is Business,PMD
236983,Get On The Bus,Soundtrack
236984,Older,George Michael
236986,Electriclarryland,Butthole Surfers
236988,Three Snakes And One Charm,The Black Crowes
236989,Autobiography Of Mistachuck,Chuck D
236990,Your Little Secret,Melissa Etheridge
236992,Pulp Fiction,Soundtrack
236995,My Heart,Donell Jones
236996,Ridin' Dirty,UGK
236997,MTV Party To Go Volume 9,Various Artists
237120,Now I Got Worry,The Jon Spencer Blues Explosion
237154,Breathe,Midnight Oil
237165,Bulletproof,Soundtrack
237167,Factory Showroom,They Might Be Giants
237175,Shocker,Silkk The Shocker
237176,Bilingual,Pet Shop Boys
237178,Can You Feel Me,Dru Down
237181,Living In A Moment,Ty Herndon
237186,Beauty For Ashes,Crystal Lewis
237188,WWF Full Metal -- The Album,Various Artists
237190,Living Under June,Jann Arden
237194,Club Mix '96 Volume 1,Various Artists
237362,A Distant Call,Susan Ashton
237368,Souvenirs,Vince Gill
237372,No Greater Sacrifice,Ray Boltz
237373,For Our Children Too!,Various Artists
237374,A Tribute To Stevie Ray Vaughan,Various Artists
237375,Nada Es Igual...,Luis Miguel
237377,October Rust,Type O Negative
237385,American Standard,Seven Mary Three
237388,Nine Objects Of Desire,Suzanne Vega
237389,Venus Isle,Eric Johnson
237390,New Beginning,SWV
237394,My Xperience,Bounty Killer
237395,What I Live To Do,James Bonamy
237397,Ricochet,Ricochet
237399,Rocket,Primitive Radio Gods
237551,For Life...,Soul For Real
237562,Dance Mix U.S.A. Vol. 4,Various Artists
237568,Soul On Ice,Ras Kass
237578,The Road To Ensenada,Lyle Lovett
237581,Macarena Mix,Various Artists
237582,Banana Wind,Jimmy Buffett
237588,Songs From The Night Before,David Sanborn
237589,That's Right,George Benson
237590,Soulful Strut,"Grover Washington, Jr."
237595,Volume I,Thug Life
237597,Creepin On Ah Come Up (EP),Bone Thugs-N-Harmony
237598,Bad As I Wanna B,MC Lyte
237731,Everything Sucks,Descendents
237766,Three Hanks: Men With Broken Hearts,"Three Hanks: Hank Williams, Sr., Jr., III"
237768,Fizzy Fuzzy Big & Buzzy,The Refreshments
237775,Tin Cup,Soundtrack
237776,The Hunchback Of Notre Dame,Soundtrack
237777,Dance Hall At Louse Point,John Parish & PJ Harvey
237781,Fire Garden,Steve Vai
237790,The Burdens Of Being Upright,Tracy Bonham
237792,Disney's Music From The Park,Various Artists
237794,Brown Sugar,D'Angelo
237798,Neal McCoy,Neal McCoy
237950,Star Turtle,"Harry Connick, Jr."
237970,So Many Ways,The Braxtons
237972,Sun Splashin' 16 Hot Summer Hits,Various Artists
237973,Alice In Chains,Alice In Chains
237982,Wicked Wayz,Mr. Mike
237983,MCMXC A.D.,Enigma
237985,Case,Case
237987,Club Mix '96 -- Volume 2,Various Artists
237991,The Other Side Of The Law,Facemob
237997,Return Of The Bumpasaurus,Sir Mix-A-Lot
237999,Face To Face,Face To Face
238167,High/Low,Nada Surf
238169,Man With The Fun,Maxi Priest
238172,Greatest Hits 1985-1995,Michael Bolton
238176,Sparkle And Fade,Everclear
238184,Miss Thang,Monica
238185,Live From The Fall,Blues Traveler
238186,"You Wanted The Best, You Got The Best!",KISS
238187,Trail Of Tears,Billy Ray Cyrus
238189,Relish,Joan Osborne
238190,Off The Beaten Path,Dave Koz
238366,Full Circle,Randy Travis
238374,Greatest Hits -- From The Beginning,Travis Tritt
238375,Bed Of Roses,Soundtrack
238377,Wax Escstatic,Sponge
238379,Hey Jupiter (EP),Tori Amos
238384,MTV Buzz Bin,Various Artists
238385,Walking Wounded,Everything But The Girl
238393,It's A Man's World,Cher
238394,Put It In Your Mouth (EP),Akinyele
238398,Friday,Soundtrack
238560,Stakes Is High,De La Soul
238567,Gravity Kills,Gravity Kills
238575,X-Games Vol. 1 -- Music From The Edge,Various Artists
238580,When I Woke,Rusted Root
238581,Highball With The Devil,Les Claypool And The Holy Mackerel
238582,Harmacy,Sebadoh
238583,Nocturnal,Heltah Skeltah
238584,Games Rednecks Play,Jeff Foxworthy
238585,Peace Beyond Passion,MeShell Ndegeocello
238586,Escape From L.A.,Soundtrack
238588,A Boy Named Goo,Goo Goo Dolls
238589,Learning As You Go,Rick Trevino
238591,The Presidents Of The United States Of America,The Presidents Of The United States Of America
238592,On A Good Night,Wade Hayes
238594,I Lived To Tell It All,George Jones
238595,Boys For Pele,Tori Amos
238597,Moods...Moments,Monifah
238599,Supercop,Soundtrack
238764,Independence Day,Soundtrack
238769,Broken Arrow,Neil Young With Crazy Horse
238783,Clueless,Soundtrack
238786,D.J. Mix '96 Vol. 1,Various Artists
238789,The Great Southern Trendkill,Pantera
238790,Dedicated To The One I Love,Linda Ronstadt
238792,Ozzmosis,Ozzy Osbourne
238793,Terri Clark,Terri Clark
238797,Killa Kali,Celly Cel
238798,Ledbetter Heights,Kenny Wayne Shepherd
238963,Sweet Relief II: Gravity Of The Situation,Various Artists
238969,Shake A Lil' Somethin'....,The 2 Live Crew
238976,Spiritchaser,Dead Can Dance
238977,Regretfully Yours,Superdrag
238979,Back To The World,Tevin Campbell
238982,Mista,Mista
238983,Foma,The Nixons
238989,Throwing Copper,Live
238990,Summon The Heroes,John Williams/The Boston Pops Orchestra
238992,Them,PFR
238994,Mission: Impossible,Soundtrack
238996,DMA Dance Vol. 2: Eurodance,Various Artists
238998,Total,Total
238999,The Coming,Busta Rhymes
239138,Rhythm Of The Games: 1996 Olympic Games Album,Various Artists
239166,The Cable Guy,Soundtrack
239178,Mom -- Music For Our Mother Ocean,Various Artists
239180,Good Gods Urge,Porno For Pyros
239188,Somebody New,Rhett Akins
239191,Wild Mood Swings,The Cure
239197,Revelations,Wynonna
239378,Chaos And Disorder,Prince
239385,Slang: Deluxe Edition,Def Leppard
239394,Wild Cowboy,Sadat X
239396,Resurrection,Geto Boys
239399,Message,4Him
239578,America Is Dying Slowly,Various Artists
239585,Uncle Luke,Luke
239588,Delinquent Habits,Delinquent Habits
239589,Q's Jook Joint,Quincy Jones
239591,Dangerous Minds,Soundtrack
239592,Amplified Heart,Everything But The Girl
239593,Goldfinger,Goldfinger
239595,One Hot Minute,Red Hot Chili Peppers
239596,II,Boyz II Men
239598,Leaving Las Vegas,Soundtrack
239768,Louder Than Words,Lionel Richie
239774,Outpost,The Samples
239780,Sunset Park,Soundtrack
239785,Lay It Down,Cowboy Junkies
239786,Mr. Holland's Opus,Soundtrack
239792,The Cream Of Eric Clapton,Eric Clapton
239793,Gone Again,Patti Smith
239797,Personal,Men Of Vizion
239942,Raise The Pressure,Electronic
239964,Striptease,Soundtrack
239980,The Hunchback Of Notre Dame Sing-Along,Soundtrack Cast
239983,Schoolhouse Rock! Rocks,Various Artists
239984,Dust,Screaming Trees
239987,Xtort,KMFDM
239992,Zero (EP),The Smashing Pumpkins
240164,It's Martini Time,Reverend Horton Heat
240178,Better Days Ahead,Norman Brown
240183,"The Show, The After Party, The Hotel",Jodeci
240188,Mortal Kombat,Soundtrack
240193,T.A.P.O.A.F.O.M.,George Clinton & The P-Funk Allstars
240197,Insomniac,Green Day
240198,Happy Nowhere,dog's eye view
240367,Undisputed Attitude,Slayer
240369,Mata Leao,Biohazard
240371,Alone In His Presence,CeCe Winans
240373,Horace Brown,Horace Brown
240375,Congratulations I'm Sorry,Gin Blossoms
240378,We Got It,Immature
240379,Discovery,The John Tesh Project
240390,VI: Return Of The Real,Ice-T
240392,Gettin' Out The Good Stuff,David Lee Murphy
240393,Something To Remember,Madonna
240394,Rubberneck,Toadies
240395,Honky Tonkin's What I Do Best,Marty Stuart
240397,I'll Lead You Home,Michael W. Smith
240399,God,Rebecca St. James
240551,First Round Knockout,Dr. Dre
240555,Gently,Liza Minnelli
240556,Eddie,Soundtrack
240566,Music For All Occasions,The Mavericks
240573,The Craft,Soundtrack
240578,The Lost Generation,Shyheim
240579,Don't Ask,Tina Arena
240584,Future Rhythm,Digital Underground
240585,Spirit,Willie Nelson
240586,Cypress Hill III (Temple Of Boom),Cypress Hill
240589,Father And Son,"Gerald Levert & Eddie Levert, Sr."
240590,MTV Party To Go Volume 8,Various Artists
240591,Foo Fighters,Foo Fighters
240593,John Michael Montgomery,John Michael Montgomery
240594,No Need To Argue,The Cranberries
240596,Just Like You,Keb' Mo'
240597,Starting Over,Reba McEntire
240598,The Phantom Of The Opera: Highlights,Original London Cast Recording
240599,Hypnotize The Moon,Clay Walker
240751,Physical Funk,Domino
240755,Tennessee Moon,Neil Diamond
240760,A Thin Line Between Love & Hate,Soundtrack
240764,Solo,Solo
240775,You Might Be A Redneck If...,Jeff Foxworthy
240778,Untouchable,Mac Mall
240784,Golden Heart,Mark Knopfler
240788,Dilate,Ani DiFranco
240790,Forrest Gump,Soundtrack
240793,All This Useless Beauty,Elvis Costello And The Attractions
240796,Eventually,Paul Westerberg
240798,Live At The Acropolis,Yanni
240960,Pure Instinct,Scorpions
240968,Now & Forever,Color Me Badd
240971,The Bridge,Ace Of Base
240972,Rude Awakening,Prong
240973,Original Gangstas,Soundtrack
240975,Lonestar,Lonestar
240988,Resident Alien,Spacehog
240989,The Downward Spiral,Nine Inch Nails
