,album_name,artist
1392,Badlands,Halsey
1393,While We Wait,Kehlani
1399,Drip Season 3,Gunna
1405,Greatest Hits I II & III: The Platinum Collection,Queen
1409,Here Comes The Cowboy,Mac DeMarco
1419,United,newsboys
1445,Beautiful Trauma,P!nk
1486,Beauty Marks,Ciara
1489,OPUS,Marc Anthony
1510,Harry Styles,Harry Styles
1530,Flesh & Blood,Whitesnake
1554,NOW 70,Various Artists
1570,Reboot,Brooks & Dunn
1583,Purpose,Justin Bieber
1585,The Fame,Lady Gaga
1586,DUMMY BOY,6ix9ine
1591,Famous Cryp,Blueface
1595,Rap Or Go To The League,2 Chainz
1599,Man On The Moon: The End Of Day,Kid Cudi
1617,Pep Talks,Judah & The Lion
1623,A Thousand More,Thrive Worship
1633,"Dave's Picks Volume 30: Fillmore East, New York, NY - 1/2/70",Grateful Dead
1635,Dancing Queen,Cher
1646,Berserker,Amon Amarth
1672,Age Of Unreason,Bad Religion
1732,From The Screen To Your Stereo 3,New Found Glory
1741,U.F.O.F.,Big Thief
1749,Chip Tooth Smile,Rob Thomas
1771,For The Throne: Music Inspired By The HBO Series Game Of Thrones,Various Artists
1786,Ugly Dolls,Soundtrack
1787,Ticket To L.A.,Brett Young
1789,Simulation Theory,Muse
1790,Narrated For You,Alec Benjamin
1796,Future & Juice WRLD Present... WRLD ON DRUGS,Future & Juice WRLD
1799,Dua Lipa,Dua Lipa
1827,Love + Fear,MARINA
1835,Anonymous,blackbear
1849,Nothing To Do Town (EP),Dylan Scott
1850,Generation Nightmare,Twiztid
1852,Arizona Baby,Kevin Abstract
1870,Mettavolution,Rodrigo y Gabriela
1876,Evolution,Disturbed
1887,Avengers: Endgame,Soundtrack
1888,Fever Breaks,Josh Ritter
1909,In League With Dragons,The Mountain Goats
1918,In The End,The Cranberries
1954,Social Cues,Cage The Elephant
1958,The Balance,Catfish And The Bottlemen
1973,Red,Taylor Swift
1974,Utopia,Romeo Santos
1978,Beyonce,Beyonce
1990,Kill This Love (EP),BLACKPINK
1994,I Am...Sasha Fierce,Beyonce
1995,Currents,Tame Impala
1996,"Fly Times, Volume 1: The Good Fly Young",Wiz Khalifa
1997,I met you when I was 18. (the playlist),Lauv
2021,The Tryforce,Starbomb
2033,N9na,Tech N9ne
2065,Creeker 2,Upchurch
2155,Covered N Blood,Shy Glizzy
2176,Moonlight,Johnnyswim
2179,Evil Genius,Gucci Mane
2182,Evergreen,After The Burial
2185,And Justice For None,Five Finger Death Punch
2186,How Can It Be,Lauren Daigle
2190,Pinkfong Presents: The Best Of Baby Shark,Pinkfong
2191,25,Adele
2194,The Click,AJR
2217,State I'm In,Aaron Lewis
2269,"Labrinth, Sia & Diplo Present... LSD","Labrinth, Sia & Diplo Present... LSD"
2274,Weezer (Teal Album),Weezer
2275,Haven't Seen It Yet,Danny Gokey
2280,From The Fires,Greta Van Fleet
2283,"Warfield: San Francisco, California, October 9th, 1980 / October 10th, 1980",Grateful Dead
2286,Amidst The Chaos,Sara Bareilles
2294,The Medicine Show,Melissa Etheridge
2329,Blood On The Tracks: Test Pressing,Bob Dylan
2331,Crenshaw,Nipsey Hussle
2338,Slauson Boy 2,Nipsey Hussle
2345,Stronger Than The Truth,Reba McEntire
2355,Green Day Live!: Woodstock 1994,Green Day
2357,A Saucerful Of Secrets,Pink Floyd
2363,Begin Again,Norah Jones
2366,By Blood,Shovels & Rope
2375,Big Hits [High Tide And Green Grass] (UK),The Rolling Stones
2380,The Alternate Fleetwood Mac,Fleetwood Mac
2383,His Majesty's Pop Life / The Purple Mix Club,Prince
2389,Live At Easy Street (EP),Pearl Jam
2393,Trauma,I Prevail
2394,Skins,XXXTENTACION
2399,The Ghost Of Ohio,Andy Black
2463,Periphery IV: Hail Stan,Periphery
2505,Morbid Stuff,PUP
2551,From A Room: Volume 2,Chris Stapleton
2576,The Greatest Hits Collection,Brooks & Dunn
2580,"Now That's What I Call Country, Volume 12",Various Artists
2581,Hozier,Hozier
2585,From A Room: Volume 1,Chris Stapleton
2587,East Atlanta Love Letter,6LACK
2590,Project Baby Two,Kodak Black
2591,Quavo Huncho,Quavo
2593,Home State,Jordan Davis
2594,Culture,Migos
2596,Frozen,Soundtrack
2597,Harverd Dropout,Lil Pump
2598,Ride Waves,GRiZ
2617,Sing To Me Instead,Ben Platt
2627,Trunk Muzik 3,YelaWolf
2635,Suncity,Khalid
2651,You Are OK,The Maine
2661,Supermarket,Logic
2664,Greetings From... Jake Owen,Jake Owen
2706,Guy,Steve Earle And The Dukes
2741,The Mighty,O.A.R.
2742,The Valley,Whitechapel
2765,Delta,Mumford & Sons
2767,You're The Man,Marvin Gaye
2768,Empath,Devin Townsend
2778,The Marathon,Nipsey Hussle
2791,Mailbox Money,Nipsey Hussle
2833,On The Line,Jenny Lewis
2841,The Very Best Of Fleetwood Mac,Fleetwood Mac
2874,Nothing Happens,Wallows
2921,The Best Of Nickelback: Volume 1,Nickelback
2940,My Finest Work Yet,Andrew Bird
2949,Love,Michael Buble
2973,The Very Best Of Chicago: Only The Beginning,Chicago
2975,When I Get Home,Solange
2979,[Hybrid Theory],Linkin Park
2980,Death Of A Bachelor,Panic! At The Disco
2984,Hi This Is Flume: Mixtape,Flume
2998,The Beautiful & Damned,G-Eazy
